,mens,womens,newbie,conversion,recency_1,recency_10,recency_11,recency_12,recency_2,recency_3,recency_4,recency_5,recency_6,recency_7,recency_8,recency_9,recency_1.1,recency_2.1,recency_3.1,recency_4.1,recency_5.1,recency_6.1,recency_7.1,zip_code_Rural,zip_code_Surburban,zip_code_Urban,channel_Multichannel,channel_Phone,channel_Web,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
17,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,0.153527,39,220,46,486,0.15057915057915058,0.08646616541353383,0.06411298516561675,0.08941401483438324,791
18,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.102941,18,68,14,151,0.20930232558139536,0.08484848484848485,0.1244538407329105,0.0215128407329105,251
19,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,,0.0,0.2125,11,84,24,143,0.11578947368421053,0.1437125748502994,-0.02792310116608887,0.24042310116608887,262
20,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,0.205357,26,93,30,160,0.2184873949579832,0.15789473684210525,0.06059265811587794,0.14476434188412207,309
21,1.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.227679,34,95,64,181,0.26356589147286824,0.2612244897959184,0.0023414016769498502,0.22533759832305014,374
22,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.20915,17,62,20,110,0.21518987341772153,0.15384615384615385,0.06134371957156767,0.14780628042843233,209
23,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,0.305556,11,48,24,107,0.1864406779661017,0.183206106870229,0.0032345710958726903,0.3023214289041273,190
24,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,1.0,0.0,0.153061,16,81,20,164,0.16494845360824742,0.10869565217391304,0.05625280143433438,0.09680819856566562,281
25,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,0.304348,20,69,48,109,0.2247191011235955,0.3057324840764331,-0.08101338295283761,0.3853613829528376,246
26,0.0,1.0,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.189418,354,1574,460,3310,0.18360995850622408,0.1220159151193634,0.061594043386860683,0.12782395661313933,5698
27,1.0,0.0,0.0,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.212919,42,183,85,367,0.18666666666666668,0.18805309734513273,-0.0013864306784660552,0.21430543067846605,677
28,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.211921,10,91,35,151,0.09900990099009901,0.1881720430107527,-0.08916214202065367,0.30108314202065367,287
29,1.0,1.0,1.0,,0.0,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,1.0,,,,0.247748,21,88,45,197,0.1926605504587156,0.1859504132231405,0.00671013723557512,0.24103786276442488,351
30,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.139535,15,50,17,120,0.23076923076923078,0.12408759124087591,0.10668163952835487,0.032853360471645124,202
