"","mens","womens","newbie","segment","visit","conversion","recency_1","recency_10","recency_11","recency_12","recency_2","recency_3","recency_4","recency_5","recency_6","recency_7","recency_8","recency_9","recency_1.1","recency_2.1","recency_3.1","recency_4.1","recency_5.1","recency_6.1","recency_7.1","zip_code_Rural","zip_code_Surburban","zip_code_Urban","channel_Multichannel","channel_Phone","channel_Web","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"38",1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,0,1,0,77,27,98,23,103,0.216,0.182539682539683,0.0334603174603175,0.201296696511269,0.167836379050951,251
"39",1,NA,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,1,0,78,5,19,2,20,0.208333333333333,0.0909090909090909,0.117424242424242,0.296296296296296,0.178872053872054,46
"40",0,1,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,81,14,42,4,52,0.25,0.0714285714285714,0.178571428571429,-0.0476923076923077,0.226263736263736,112
"41",0,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,1,85,10,33,6,28,0.232558139534884,0.176470588235294,0.0560875512995896,-0.152136752136752,0.208224303436342,77
"42",0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,NA,NA,0,0,1,86,32,175,26,164,0.154589371980676,0.136842105263158,0.0177472667175184,0.0375615763546798,0.0198143096371614,397
"43",0,1,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,1,87,12,27,6,40,0.307692307692308,0.130434782608696,0.177257525083612,0.209486166007905,0.0322286409242931,85
"44",0,1,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,0,NA,NA,0,90,3,30,4,36,0.0909090909090909,0.1,-0.00909090909090909,-0.0457516339869281,0.036660724896019,73
"45",0,1,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,0,NA,NA,0,92,6,25,3,37,0.193548387096774,0.075,0.118548387096774,-0.0263157894736842,0.144864176570458,71
"46",0,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,NA,0,NA,NA,0,93,36,166,25,163,0.178217821782178,0.132978723404255,0.0452390983779229,0.120811855670103,0.0755727572921802,390
"47",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,NA,NA,0,94,25,165,19,170,0.131578947368421,0.100529100529101,0.0310498468393205,0.145073078736445,0.114023231897125,379
"48",1,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,97,8,45,4,43,0.150943396226415,0.0851063829787234,0.0658370132476917,-0.0295138888888889,0.0953509021365806,100
"49",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,99,120,562,87,613,0.175953079178886,0.124285714285714,0.0516673648931713,0.0932003966973188,0.0415330318041474,1382
"50",1,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,100,6,51,8,39,0.105263157894737,0.170212765957447,-0.06494960806271,0.222651222651223,0.287600830713933,104
"51",1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,102,10,38,4,34,0.208333333333333,0.105263157894737,0.103070175438597,-0.0106837606837607,0.113753936122357,86
"52",1,1,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,105,7,17,4,18,0.291666666666667,0.181818181818182,0.109848484848485,-0.0226086956521739,0.132457180500659,46
"53",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,107,16,59,9,67,0.213333333333333,0.118421052631579,0.0949122807017544,0.135076252723312,0.0401639720215572,151
"54",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,108,43,81,33,108,0.346774193548387,0.234042553191489,0.112731640356898,0.256384323640961,0.143652683284063,265
"55",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,1,109,48,108,31,119,0.307692307692308,0.206666666666667,0.101025641025641,0.285130718954248,0.184105077928607,306
